id,label,transcription
9591e23d-70123687.mp3,anger,Pedimos que se tiren de las orejas a quien las ha paralizado. Pedimos que se tiren de las orejas a quien ha paralizado las obras adjudicadas hace año y medio.
51057a09-6011210b.mp3,joy,"Acertamos cuando estamos unidos. Unidos las instituciones, todos los grupos parlamentarios y el conjunto de la ciudadanía española hemos vencido al virus. El Gobierno en la cuestión de la emergencia sanitaria lo que ha hecho ha sido valerse"
ad44e4d0-6f134610.mp3,neutral,"Al final no hay fronteras, estamos hablando de un mundo globalizado y aquí estamos poniendo una frontera con Aragón y lo que estamos provocando es lo contrario de lo que queremos, más movilidad estamos provocando."
baf9aa6b-c1afd717.mp3,neutral,"Lucía, a partir de ahora cada comunidad improvisa, sabiendo que no va a haber..."
a21b649b-01bb1ea5.mp3,disgust,"Dicho de otra forma, el partido que tejía un coronel sanitario frente a Vox le ha dado"
8c48c926-ceaecbc5.mp3,disgust,"Lo que está intentando Sánchez hacer no es un indulto, como los que se han producido a lo largo de nuestra historia, realmente es un pago político. Si Sánchez tuviera hoy mayoría absoluta, no tendríamos indultos."
b4f0775c-a24a477e.mp3,anger,pasa? Que el PNV no está en contra de la cooperación por haber presentado una enmienda a la totalidad que ha retirado el miércoles.
f6f0c013-1558e749.mp3,neutral,Miles de ciudadanos chinos nos visitan estos días coincidiendo con la celebración de su año nuevo. La estadística dice que son los turistas que más dinero gastan en sus viajes y estas son sus vacaciones más largas.
88bb394a-dd892a5b.mp3,disgust,"que evidentemente va en sentido contrario a lo que había hecho el Partido Popular, que era la consolidación económica y la generación de empleo. Eso unido a la falta de eficiencia y eficacia"
13d1dcc0-7bf788bd.mp3,neutral,Y estas son imágenes grabadas horas después. Así ha quedado la nave. A mediodía los bomberos por fin conseguían entrar.
c25f615e-c7347b83.mp3,joy,"Si te enfrentas a Real Madrid sabes que cuando juegan en la final, las ganan. Por eso creo que ahora estoy al lado bueno de la historia."
201d2102-497bf746.mp3,sadness,"Cuando empezaron las primeras noticias no se sabía exactamente. Yo ya me puse muy nerviosa, me levanté, me vestí, salí y empecé a llamarle y le dije mensajes, por favor llámame en cuanto oigas este mensaje, ha pasado esto."
ab82538d-de6ead87.mp3,disgust,"Es curioso lo mucho que les gusta a ustedes pedir la unidad para lo poco que la practican, porque ese llamamiento se producía, curiosamente, escasas horas después"
5d76c64a-79c36e2e.mp3,joy,"Bueno, yo soy el de los agradecimientos. Primero, lógicamente, a Ondas por este premio. Segundo, a todos ustedes por estar aquí. Y también nos acordamos de la dirección de Radio Clásica, que ha apostado muy fuerte por este programa y, la verdad, es que por fin ha"
cac330ab-94956a58.mp3,joy,por este alegrón que habéis traído a mi casa. Se me va a salir el corazón. Es un honor enorme compartirlo con Aura.
c8b59c58-85bef691.mp3,anger,"Una cuestión que es terraza no es terraza, un puro que si se fuma que si no se fuma, que si estaba en la boca que si no estaba en la boca."
4b84d265-25eafd54.mp3,neutral,"Sin duda, muy buenas noches. Pues tener un millar de casos, en concreto 1038 personas que han dado positivo en apenas un día."
b72fcf2a-49b88a54.mp3,disgust,Salir de seguridad ciudadana acaba de sufrir una propuesta de reforma
1c8f4831-9d1e0175.mp3,disgust,"pero mandando a todos los españoles al paro. Mire, un gobierno se define por las personas a las que defiende y a las que ataca. Ese es su gobierno. Criminalizan a los agricultores por regar en el Levante o en otras zonas de España mientras apoyan a los ocupas que asaltan las casas de la gente. Afisian a los ganaderos"
